指标,Model A (Logistic),Model B (MLP),差值(B-A),优势
样本量,20101.0,20101.0,0.0,持平
Accuracy,0.9164,0.8139,-0.1025,Model A (Logistic)
Cohen's Kappa,0.2856,0.1806,-0.105,Model A (Logistic)
AUC (macro),0.8981,0.8961,-0.002,Model A (Logistic)
AUC (weighted),0.9072,0.9022,-0.005,Model A (Logistic)
Macro F1,0.3858,0.3342,-0.0516,Model A (Logistic)
Weighted F1,0.9298,0.8721,-0.0577,Model A (Logistic)
G-mean,0.3302,0.5308,0.2006,Model B (MLP)
无风险(0) - Precision,,,,持平
无风险(0) - Recall,,,,持平
无风险(0) - F1,,,,持平
低风险(1) - Precision,,,,持平
低风险(1) - Recall,,,,持平
低风险(1) - F1,,,,持平
中风险(2) - Precision,,,,持平
中风险(2) - Recall,,,,持平
中风险(2) - F1,,,,持平
高风险(3) - Precision,,,,持平
高风险(3) - Recall,,,,持平
高风险(3) - F1,,,,持平
